id,zone,regular_total,regular_free,disabled_total,disabled_free
parking-31,zone-3,90,90,20,10
parking-32,zone-3,90,80,20,10
parking-33,zone-3,90,70,20,10
parking-34,zone-3,90,60,20,10
parking-35,zone-3,90,50,20,10
parking-36,zone-3,90,40,20,10
parking-37,zone-3,90,30,20,10
parking-38,zone-3,90,20,20,10
parking-39,zone-3,90,10,20,10
parking-30,zone-3,90,0,20,10
parking-31,zone-3,90,15,20,10
parking-32,zone-3,90,30,20,10
parking-33,zone-3,90,45,20,10
parking-34,zone-3,90,60,20,10
parking-35,zone-3,90,40,20,10
parking-36,zone-3,90,20,20,10
parking-37,zone-3,90,5,20,10
parking-38,zone-3,90,0,20,10
parking-39,zone-3,90,15,20,10
parking-30,zone-3,90,30,20,10
parking-31,zone-3,90,45,20,10
parking-32,zone-3,90,60,20,10
parking-33,zone-3,90,40,20,10
parking-34,zone-3,90,20,20,10
parking-35,zone-3,90,5,20,10
parking-36,zone-3,90,0,20,10
parking-37,zone-3,90,15,20,10
parking-38,zone-3,90,30,20,10
parking-39,zone-3,90,45,20,10
parking-30,zone-3,90,60,20,10
parking-31,zone-3,90,40,20,10
parking-32,zone-3,90,20,20,10
parking-33,zone-3,90,5,20,10
parking-34,zone-3,90,0,20,10
parking-35,zone-3,90,15,20,10
parking-36,zone-3,90,30,20,10
parking-37,zone-3,90,45,20,10
parking-38,zone-3,90,60,20,10
parking-39,zone-3,90,40,20,10
parking-30,zone-3,90,20,20,10
parking-31,zone-3,90,5,20,10
parking-32,zone-3,90,0,20,10
parking-33,zone-3,90,15,20,10
parking-34,zone-3,90,30,20,10
parking-35,zone-3,90,45,20,10
parking-36,zone-3,90,60,20,10
parking-37,zone-3,90,40,20,10
parking-38,zone-3,90,20,20,10
parking-39,zone-3,90,5,20,10
parking-30,zone-3,90,0,20,10
parking-31,zone-3,90,15,20,10
parking-32,zone-3,90,30,20,10
parking-33,zone-3,90,45,20,10
parking-34,zone-3,90,60,20,10
parking-35,zone-3,90,40,20,10
parking-36,zone-3,90,20,20,10
parking-37,zone-3,90,5,20,10
parking-38,zone-3,90,0,20,10
